from,to,distance
452,451,0.960808
451,452,0.960808
414,382,0.960775
403,381,0.960752
700,267,0.960733
267,700,0.960733
219,191,0.960678
384,381,0.960420
852,388,0.960390
398,854,0.960374
984,873,0.960322
873,984,0.960322
1193,1110,0.960293
385,412,0.960283
412,385,0.960283
986,1277,0.960243
578,652,0.960236
345,1317,0.960198
487,842,0.960194
153,411,0.960180
364,327,0.960166
756,498,0.960126
273,1186,0.960090
1353,1352,0.960039
445,771,0.959967
771,445,0.959967
913,1067,0.959909
1067,913,0.959909
485,484,0.959864
484,485,0.959864
1061,1062,0.959839
1062,1061,0.959839
414,393,0.959814
1153,1159,0.959799
365,832,0.959756
836,98,0.959751
188,196,0.959722
1090,916,0.959605
227,200,0.959598
765,766,0.959581
173,194,0.959568
194,173,0.959568
1418,1416,0.959549
403,400,0.959547
533,534,0.959461
534,533,0.959461
1096,843,0.959456
727,644,0.959432
480,481,0.959411
481,480,0.959411
118,96,0.959401
96,118,0.959401
219,204,0.959366
204,219,0.959366
675,931,0.959327
364,375,0.959241
119,96,0.959237
96,119,0.959237
499,525,0.959178
1353,1349,0.959169
1082,1043,0.959127
1120,413,0.959089
207,219,0.959047
1302,291,0.959036
616,619,0.959032
619,616,0.959032
466,465,0.959031
836,916,0.959015
43,1068,0.959010
1036,739,0.958906
101,226,0.958903
482,54,0.958860
279,286,0.958785
451,381,0.958779
29,1409,0.958763
330,1310,0.958669
27,29,0.958667
188,179,0.958633
1090,492,0.958593
1126,1245,0.958460
1245,1126,0.958460
314,315,0.958448
315,314,0.958448
353,355,0.958445
353,354,0.958445
208,194,0.958414
194,208,0.958414
596,404,0.958414
813,474,0.958379
474,813,0.958379
287,285,0.958356
1153,228,0.958278
228,1153,0.958278
1114,1113,0.958276
1113,1114,0.958276
825,1403,0.958266
1418,723,0.958265
723,1418,0.958265
663,1132,0.958031
1132,663,0.958031
1170,596,0.957961
1376,404,0.957954
330,402,0.957903
957,1336,0.957860
783,785,0.957786
784,785,0.957786
785,783,0.957786
785,784,0.957786
497,864,0.957779
700,1245,0.957753
1245,700,0.957753
1157,1318,0.957661
595,907,0.957612
798,1277,0.957552
815,1277,0.957552
172,207,0.957545
1302,931,0.957504
975,126,0.957456
126,975,0.957456
654,578,0.957449
578,654,0.957449
654,652,0.957401
139,845,0.957369
845,139,0.957369
926,389,0.957344
971,850,0.957300
1004,1021,0.957267
1004,1023,0.957267
1314,515,0.957246
693,283,0.957189
505,515,0.957090
969,1045,0.957087
1045,969,0.957087
765,546,0.957052
725,580,0.957022
580,725,0.957022
919,836,0.956987
594,525,0.956926
595,901,0.956909
971,568,0.956885
568,971,0.956885
505,1376,0.956818
205,204,0.956758
255,445,0.956699
311,658,0.956670
658,311,0.956670
636,1419,0.956660
1419,636,0.956660
32,593,0.956621
519,1245,0.956606
954,1310,0.956584
656,402,0.956540
1412,852,0.956519
852,1412,0.956519
193,772,0.956502
245,404,0.956343
744,745,0.956309
641,56,0.956139
585,586,0.956086
586,585,0.956086
855,825,0.956046
825,855,0.956046
398,1073,0.956042
1073,398,0.956042
193,894,0.956015
623,307,0.956006
701,1400,0.955943
1400,701,0.955943
656,1142,0.955928
1045,267,0.955891
1165,65,0.955829
649,1156,0.955718
1156,649,0.955718
1114,1369,0.955700
92,332,0.955628
158,222,0.955625
32,596,0.955588
311,584,0.955498
584,311,0.955498
143,144,0.955484
144,143,0.955484
1036,291,0.955456
247,240,0.955451
1294,409,0.955431
1405,1275,0.955395
641,43,0.955344
1120,1134,0.955342
554,461,0.955269
1033,1056,0.955179
1056,1033,0.955179
888,1142,0.955178
487,881,0.955096
756,315,0.954974
315,756,0.954974
987,162,0.954972
162,987,0.954972
1363,1370,0.954955
1370,1363,0.954955
228,1172,0.954952
1172,228,0.954952
383,403,0.954861
127,1142,0.954784
682,738,0.954744
738,682,0.954744
554,457,0.954725
45,815,0.954666
45,798,0.954666
1389,1120,0.954663
853,1310,0.954660
175,176,0.954651
176,175,0.954651
1172,1043,0.954600
882,757,0.954571
757,882,0.954571
1148,219,0.954555
1161,1081,0.954398
1081,1161,0.954398
1087,1084,0.954315
1084,1087,0.954315
853,954,0.954112
965,1277,0.954096
486,172,0.954067
236,1310,0.954063
1380,1153,0.953961
1039,35,0.953877
840,793,0.953877
1293,207,0.953871
580,726,0.953805
726,580,0.953805
775,1307,0.953800
77,1257,0.953750
278,291,0.953722
913,172,0.953683
952,1277,0.953587
1132,802,0.953493
1323,406,0.953456
406,1323,0.953456
1073,409,0.953451
1097,98,0.953347
397,414,0.953201
963,220,0.953014
278,1307,0.952878
723,838,0.952856
838,723,0.952856
1405,1276,0.952852
775,1053,0.952766
1165,907,0.952736
800,1349,0.952725
623,624,0.952675
624,623,0.952675
203,202,0.952603
202,203,0.952603
896,1415,0.952549
365,355,0.952533
1097,1090,0.952475
205,206,0.952413
206,205,0.952413
797,568,0.952412
755,910,0.952408
594,1159,0.952299
649,1097,0.952291
898,901,0.952247
867,292,0.952243
292,867,0.952243
771,521,0.952180
839,286,0.952127
662,1389,0.952048
888,931,0.952031
149,652,0.951966
1033,905,0.951902
898,1172,0.951885
562,558,0.951879
558,562,0.951879
755,896,0.951803
1098,1038,0.951749
526,503,0.951697
703,1142,0.951611
817,820,0.951577
820,817,0.951577
976,978,0.951543
978,976,0.951543
80,86,0.951498
699,658,0.951435
658,699,0.951435
975,144,0.951417
144,975,0.951417
171,112,0.951416
112,171,0.951416
787,786,0.951334
786,787,0.951334
202,1293,0.951300
1081,1201,0.951283
1201,1081,0.951283
33,1258,0.951272
1049,1046,0.951261
1046,1049,0.951261
495,219,0.951107
1013,598,0.951086
598,1013,0.951086
928,962,0.951071
962,928,0.951071
1314,1315,0.951060
550,665,0.950967
665,550,0.950967
113,1267,0.950958
113,31,0.950784
1059,642,0.950783
642,1059,0.950783
750,291,0.950648
1148,207,0.950617
162,964,0.950610
