index,filename,cluster,distance
3233,dataset\81. academicPhotos\academicPhotos0003479.jpg,8,477.347046
3915,dataset\81. academicPhotos\academicPhotos0004264.jpg,5,477.322388
178,dataset\81. academicPhotos\academicPhotos0000185.jpg,1,476.368530
680,dataset\81. academicPhotos\academicPhotos0000708.jpg,2,476.163818
2981,dataset\81. academicPhotos\academicPhotos0003185.jpg,3,475.882874
2763,dataset\81. academicPhotos\academicPhotos0002950.jpg,1,475.800598
558,dataset\81. academicPhotos\academicPhotos0000578.jpg,1,475.478394
4580,dataset\81. academicPhotos\academicPhotos0004994.jpg,4,474.687622
1448,dataset\81. academicPhotos\academicPhotos0001542.jpg,1,474.633667
1279,dataset\81. academicPhotos\academicPhotos0001364.jpg,3,474.105713
3971,dataset\81. academicPhotos\academicPhotos0004335.jpg,8,474.062378
1338,dataset\81. academicPhotos\academicPhotos0001429.jpg,3,473.693359
2998,dataset\81. academicPhotos\academicPhotos0003208.jpg,0,473.447693
496,dataset\81. academicPhotos\academicPhotos0000515.jpg,1,473.446045
2996,dataset\81. academicPhotos\academicPhotos0003206.jpg,4,473.292847
2393,dataset\81. academicPhotos\academicPhotos0002562.jpg,3,473.274841
5366,dataset\81. academicPhotos\academicPhotos0005821.jpg,8,472.793823
3092,dataset\81. academicPhotos\academicPhotos0003315.jpg,1,472.472656
3324,dataset\81. academicPhotos\academicPhotos0003587.jpg,8,472.360962
4415,dataset\81. academicPhotos\academicPhotos0004815.jpg,5,472.326355
1517,dataset\81. academicPhotos\academicPhotos0001612.jpg,2,471.386230
1456,dataset\81. academicPhotos\academicPhotos0001550.jpg,1,471.003784
3661,dataset\81. academicPhotos\academicPhotos0003987.jpg,9,470.894043
41,dataset\81. academicPhotos\academicPhotos0000043.jpg,4,470.682739
493,dataset\81. academicPhotos\academicPhotos0000512.jpg,0,470.384949
3333,dataset\81. academicPhotos\academicPhotos0003608.jpg,3,469.969604
4299,dataset\81. academicPhotos\academicPhotos0004694.jpg,1,469.692871
5414,dataset\81. academicPhotos\academicPhotos0005877.jpg,1,469.634583
2388,dataset\81. academicPhotos\academicPhotos0002557.jpg,3,469.598267
716,dataset\81. academicPhotos\academicPhotos0000744.jpg,1,469.598145
4924,dataset\81. academicPhotos\academicPhotos0005359.jpg,3,468.317871
1487,dataset\81. academicPhotos\academicPhotos0001582.jpg,4,468.213013
2797,dataset\81. academicPhotos\academicPhotos0002995.jpg,7,468.014465
2902,dataset\81. academicPhotos\academicPhotos0003101.jpg,8,467.613281
301,dataset\81. academicPhotos\academicPhotos0000313.jpg,1,467.227905
3451,dataset\81. academicPhotos\academicPhotos0003771.jpg,1,466.998535
