component_id,mean,sum,count,min,max
2118,3.978362,4.000000,0.994590,0.994590,0.994590
2121,3.971884,4.000000,0.992971,0.992971,0.992971
3068,3.995632,4.000000,0.998908,0.998908,0.998908
3012,3.929520,4.000000,0.982380,0.982380,0.982380
3994,7.711445,8.000000,0.963931,0.960333,0.967529
3947,3.866439,4.000000,0.966610,0.966610,0.966610
3024,3.901640,4.000000,0.975410,0.975410,0.975410
3899,3.999310,4.000000,0.999827,0.999827,0.999827
2238,3.845146,4.000000,0.961287,0.961287,0.961287
2243,3.976141,4.000000,0.994035,0.994035,0.994035
2244,3.988093,4.000000,0.997023,0.997023,0.997023
2245,3.976303,4.000000,0.994076,0.994076,0.994076
3621,3.877955,4.000000,0.969489,0.969489,0.969489
2248,3.973824,4.000000,0.993456,0.993456,0.993456
2249,3.977159,4.000000,0.994290,0.994290,0.994290
3638,11.696168,12.000000,0.974681,0.961729,0.999937
3955,3.857196,4.000000,0.964299,0.964299,0.964299
2275,4.000000,4.000000,1.000000,1.000000,1.000000
2276,3.999999,4.000000,1.000000,1.000000,1.000000
2286,4.000000,4.000000,1.000000,1.000000,1.000000
2290,4.000000,4.000000,1.000000,1.000000,1.000000
2296,11.933184,12.000000,0.994432,0.991648,1.000000
2298,4.000000,4.000000,1.000000,1.000000,1.000000
2300,3.978185,4.000000,0.994546,0.994546,0.994546
2303,4.000000,4.000000,1.000000,1.000000,1.000000
2304,11.891144,12.000000,0.990929,0.986393,1.000000
3257,7.720100,8.000000,0.965012,0.963135,0.966890
2329,11.999999,12.000000,1.000000,1.000000,1.000000
2335,3.895979,4.000000,0.973995,0.973995,0.973995
4039,3.854734,4.000000,0.963684,0.963684,0.963684
4055,4.000000,4.000000,1.000000,1.000000,1.000000
2358,4.000000,4.000000,1.000000,1.000000,1.000000
3233,9.772018,10.000000,0.977202,0.968481,0.979930
2362,4.000000,4.000000,1.000000,1.000000,1.000000
2364,15.713659,16.000000,0.982104,0.964589,0.995797
2366,3.984610,4.000000,0.996152,0.996152,0.996152
