from,to,distance
6461,3060,0.697146
11947,3522,0.697144
875,239,0.697138
4854,11634,0.697107
1233,3585,0.697098
11512,1290,0.697039
1299,3648,0.696943
2754,10638,0.696828
3179,4492,0.696809
3673,9752,0.696781
1305,10607,0.696753
1696,3535,0.696713
8706,9647,0.696670
8809,4751,0.696656
7610,7532,0.696651
3308,7357,0.696619
7357,3308,0.696619
5174,5363,0.696559
9030,4926,0.696536
4493,6717,0.696362
5749,4364,0.696352
1305,9901,0.696347
1819,9034,0.696216
6109,12135,0.696188
9219,7622,0.696142
5537,4704,0.696128
10781,4518,0.696033
588,5762,0.695959
9635,10759,0.695857
3130,4382,0.695694
4854,4657,0.695590
8596,9879,0.695500
9603,10314,0.695481
3127,10151,0.695439
5537,8008,0.695403
10677,1305,0.695301
7098,3602,0.695291
7145,11242,0.695235
11242,7145,0.695235
11779,5421,0.695181
7421,4458,0.695092
4454,6609,0.695004
1007,9,0.694969
4224,11981,0.694966
9459,4555,0.694881
8887,9089,0.694867
9986,10031,0.694768
10936,4409,0.694651
3252,8134,0.694623
9010,8592,0.694565
4420,7157,0.694562
6791,7988,0.694523
9953,4957,0.694444
811,2724,0.694428
11176,1757,0.694374
2485,2723,0.694284
11270,10793,0.694281
11903,8227,0.694263
5694,2293,0.694203
9776,10629,0.694157
9805,8954,0.694150
8897,8188,0.694133
1986,8478,0.694120
1237,10940,0.694099
10283,8003,0.694084
5563,11208,0.694042
9546,10738,0.694041
2526,8491,0.694025
5744,4051,0.693952
3923,7260,0.693919
10985,5494,0.693866
5900,11081,0.693852
10149,4569,0.693845
6199,10981,0.693825
8706,5488,0.693707
6383,10940,0.693662
1345,5453,0.693593
9635,7509,0.693459
3037,5330,0.693401
11779,3386,0.693385
8658,10657,0.693376
11604,8017,0.693322
3239,6776,0.693284
9776,10528,0.693240
1780,10999,0.693179
11085,7518,0.693099
9986,8786,0.693094
5900,11713,0.693092
7635,4492,0.693056
649,8452,0.692999
4034,4409,0.692666
3072,8427,0.692649
6782,10000,0.692634
9825,1890,0.692462
1890,9825,0.692462
7289,6296,0.692313
3700,2550,0.692309
7782,12026,0.692201
3822,10371,0.692194
4454,10062,0.692188
173,12,0.692050
2693,8690,0.692048
8992,9479,0.692048
9479,8992,0.692048
4088,138,0.692027
11163,9145,0.692010
5744,7061,0.691997
8930,4472,0.691877
10383,4948,0.691873
5104,9763,0.691840
1388,5124,0.691735
3215,2660,0.691649
2574,4333,0.691555
10470,11798,0.691512
10216,7521,0.691457
4913,9968,0.691317
9968,4913,0.691317
6937,10547,0.691126
7348,4563,0.691038
5963,3966,0.691005
3119,8125,0.690908
9729,9523,0.690867
8806,3799,0.690865
3486,6396,0.690815
11270,4294,0.690740
8992,6143,0.690739
8735,5002,0.690714
5697,9588,0.690677
4303,3949,0.690582
5833,8746,0.690499
11196,11366,0.690467
738,3606,0.690448
3749,3688,0.690341
3543,10382,0.690340
4618,2651,0.690282
2651,4618,0.690282
5876,8996,0.690207
11812,6277,0.690199
7168,10484,0.690166
9729,10376,0.690160
7648,7794,0.690096
11247,6536,0.689862
10775,4952,0.689825
4533,10060,0.689699
649,648,0.689550
2693,4948,0.689364
9892,9198,0.689334
8887,10489,0.689241
9843,8285,0.689198
8708,1873,0.689186
3179,5883,0.689183
763,796,0.688938
6937,6132,0.688934
1819,9197,0.688927
5785,6269,0.688926
2845,9609,0.688912
5170,2207,0.688820
3819,2777,0.688716
5876,1610,0.688536
10617,2882,0.688493
2951,1897,0.688335
1955,7517,0.688317
9271,3882,0.688184
6473,7959,0.688154
6150,11009,0.688133
6150,11007,0.688133
9896,9655,0.688108
1381,7175,0.687982
10985,9618,0.687897
8741,11192,0.687878
11325,3545,0.687830
10177,7406,0.687796
3242,8341,0.687748
2906,11185,0.687654
1813,11187,0.687628
4467,6150,0.687583
3613,8070,0.687564
3486,6141,0.687494
4990,3111,0.687451
3379,4992,0.687421
10750,4810,0.687380
5036,7935,0.687346
3613,1277,0.687206
10112,1950,0.687045
4088,10013,0.686979
11812,1674,0.686846
5405,9177,0.686718
11247,7619,0.686718
2431,9016,0.686701
6178,11807,0.686674
1870,12144,0.686662
4203,10631,0.686594
5050,1755,0.686510
5833,7988,0.686500
2959,7037,0.686445
9571,4470,0.686430
10619,9961,0.686370
7133,6090,0.686154
11196,6153,0.686152
10573,9514,0.685976
1010,6218,0.685936
11604,4618,0.685870
10685,3919,0.685828
10177,8509,0.685761
9949,9839,0.685710
1420,2372,0.685642
10593,3597,0.685622
5055,5494,0.685612
1234,8170,0.685428
1955,1379,0.685218
1328,9701,0.685158
4506,11620,0.684961
11052,10271,0.684822
1170,1631,0.684701
10386,8341,0.684690
6613,1603,0.684632
9997,3520,0.684481
152,6951,0.684472
2182,9745,0.684392
7915,6809,0.684353
7054,7056,0.684234
3232,2358,0.684225
11757,8494,0.684216
8708,8388,0.684132
1170,10414,0.684029
7054,6883,0.683931
4467,2013,0.683776
3287,5450,0.683686
9459,3228,0.683646
11759,2970,0.683476
10216,8418,0.683392
8990,10914,0.683323
1240,10417,0.683321
1281,6766,0.683003
6766,1281,0.683003
10700,10837,0.682918
10837,10700,0.682918
11765,6722,0.682667
4990,7098,0.682618
600,184,0.682546
10593,9752,0.682519
5156,10856,0.682505
1235,1237,0.682464
1237,1235,0.682464
152,12118,0.682117
10573,3087,0.682002
4571,4990,0.681859
9343,4709,0.681760
8363,5578,0.681677
7168,10810,0.681656
173,9288,0.681650
600,964,0.681558
9661,2457,0.681457
3667,2598,0.681307
10875,349,0.681147
4748,10593,0.681106
2363,2507,0.680879
6007,10799,0.680787
9953,2606,0.680757
4203,5494,0.680541
9050,1302,0.680429
3052,2055,0.680372
10099,5012,0.680333
9479,10013,0.680106
4325,5985,0.679996
1986,694,0.679800
2916,10988,0.679772
1702,4197,0.679662
2662,3545,0.679591
10592,9555,0.679513
7330,11988,0.679479
3379,7811,0.679422
8735,10978,0.679392
7401,8446,0.679297
5306,2618,0.679193
7448,10271,0.678929
10768,9114,0.678796
