component_id,mean,sum,count,min,max
3349,3.950772,4.000000,0.987693,0.987693,0.987693
3357,3.966871,4.000000,0.991718,0.991718,0.991718
3359,3.958710,4.000000,0.989678,0.989678,0.989678
3816,3.918083,4.000000,0.979521,0.979521,0.979521
3681,3.851662,4.000000,0.962916,0.962916,0.962916
3516,3.968910,4.000000,0.992228,0.992228,0.992228
3523,3.989067,4.000000,0.997267,0.997267,0.997267
3525,3.990379,4.000000,0.997595,0.997595,0.997595
3697,3.920439,4.000000,0.980110,0.980110,0.980110
3555,3.979049,4.000000,0.994762,0.994762,0.994762
3584,3.990796,4.000000,0.997699,0.997699,0.997699
3838,3.890141,4.000000,0.972535,0.972535,0.972535
3840,3.853904,4.000000,0.963476,0.963476,0.963476
4385,3.846449,4.000000,0.961612,0.961612,0.961612
5419,3.984778,4.000000,0.996195,0.996195,0.996195
4125,3.974638,4.000000,0.993660,0.993660,0.993660
5970,3.856141,4.000000,0.964035,0.964035,0.964035
4132,3.874769,4.000000,0.968692,0.968692,0.968692
4146,3.972302,4.000000,0.993075,0.993075,0.993075
4150,3.854625,4.000000,0.963656,0.963656,0.963656
4158,3.947331,4.000000,0.986833,0.986833,0.986833
4184,3.869427,4.000000,0.967357,0.967357,0.967357
4185,3.937248,4.000000,0.984312,0.984312,0.984312
4198,3.894312,4.000000,0.973578,0.973578,0.973578
4200,3.873332,4.000000,0.968333,0.968333,0.968333
5585,3.978210,4.000000,0.994553,0.994553,0.994553
4317,3.861552,4.000000,0.965388,0.965388,0.965388
5955,3.999999,4.000000,1.000000,1.000000,1.000000
5454,3.965470,4.000000,0.991368,0.991368,0.991368
4792,7.754715,8.000000,0.969339,0.967280,0.971398
5762,3.860586,4.000000,0.965147,0.965147,0.965147
4402,3.948388,4.000000,0.987097,0.987097,0.987097
4412,3.941754,4.000000,0.985439,0.985439,0.985439
4425,3.996606,4.000000,0.999152,0.999152,0.999152
5158,3.872447,4.000000,0.968112,0.968112,0.968112
5319,3.983525,4.000000,0.995881,0.995881,0.995881
4439,3.981021,4.000000,0.995255,0.995255,0.995255
7325,4.000000,4.000000,1.000000,1.000000,1.000000
4451,3.995697,4.000000,0.998924,0.998924,0.998924
4457,3.978827,4.000000,0.994707,0.994707,0.994707
4625,4.000000,4.000000,1.000000,1.000000,1.000000
4491,3.845806,4.000000,0.961451,0.961451,0.961451
5230,3.872590,4.000000,0.968147,0.968147,0.968147
4511,3.928456,4.000000,0.982114,0.982114,0.982114
5228,3.947622,4.000000,0.986905,0.986905,0.986905
4512,3.916852,4.000000,0.979213,0.979213,0.979213
5182,3.935247,4.000000,0.983812,0.983812,0.983812
4613,3.959332,4.000000,0.989833,0.989833,0.989833
4538,3.994418,4.000000,0.998605,0.998605,0.998605
5643,3.977598,4.000000,0.994400,0.994400,0.994400
4545,3.903418,4.000000,0.975854,0.975854,0.975854
4701,3.984475,4.000000,0.996119,0.996119,0.996119
4587,3.973570,4.000000,0.993393,0.993393,0.993393
4605,13.706169,14.000000,0.979012,0.962621,0.992859
4611,3.968596,4.000000,0.992149,0.992149,0.992149
4614,3.968140,4.000000,0.992035,0.992035,0.992035
4615,3.994940,4.000000,0.998735,0.998735,0.998735
6073,3.904762,4.000000,0.976191,0.976191,0.976191
4631,3.963731,4.000000,0.990933,0.990933,0.990933
6025,59.027809,60.000000,0.983797,0.963107,0.992175
4659,11.870531,12.000000,0.989211,0.983575,0.998379
6057,3.841120,4.000000,0.960280,0.960280,0.960280
4684,3.959198,4.000000,0.989799,0.989799,0.989799
4704,3.921900,4.000000,0.980475,0.980475,0.980475
5530,3.985957,4.000000,0.996489,0.996489,0.996489
6113,3.938308,4.000000,0.984577,0.984577,0.984577
4802,3.909436,4.000000,0.977359,0.977359,0.977359
5165,3.985118,4.000000,0.996280,0.996280,0.996280
5964,3.909031,4.000000,0.977258,0.977258,0.977258
5298,3.950250,4.000000,0.987563,0.987563,0.987563
4868,3.908362,4.000000,0.977091,0.977091,0.977091
7628,31.585453,32.000000,0.987045,0.981622,0.992480
5825,3.976833,4.000000,0.994208,0.994208,0.994208
5863,3.990843,4.000000,0.997711,0.997711,0.997711
5865,3.988899,4.000000,0.997225,0.997225,0.997225
6439,3.858536,4.000000,0.964634,0.964634,0.964634
5073,17.753370,18.000000,0.986298,0.960348,0.999408
5087,3.960070,4.000000,0.990017,0.990017,0.990017
5089,3.950790,4.000000,0.987697,0.987697,0.987697
5750,3.985934,4.000000,0.996483,0.996483,0.996483
5093,3.948718,4.000000,0.987179,0.987179,0.987179
5097,11.751364,12.000000,0.979280,0.969879,0.992305
5106,3.971546,4.000000,0.992886,0.992886,0.992886
5111,3.983108,4.000000,0.995777,0.995777,0.995777
5708,3.969143,4.000000,0.992286,0.992286,0.992286
5120,3.879225,4.000000,0.969806,0.969806,0.969806
5191,3.922349,4.000000,0.980587,0.980587,0.980587
5231,7.728736,8.000000,0.966092,0.961774,0.970410
5234,13.542726,14.000000,0.967338,0.960701,0.972563
5245,3.863775,4.000000,0.965944,0.965944,0.965944
5272,3.999733,4.000000,0.999933,0.999933,0.999933
6466,3.882959,4.000000,0.970740,0.970740,0.970740
11087,3.916135,4.000000,0.979034,0.979034,0.979034
7131,3.876051,4.000000,0.969013,0.969013,0.969013
10483,3.956813,4.000000,0.989203,0.989203,0.989203
5477,19.330912,20.000000,0.966546,0.960955,0.978714
10767,3.937965,4.000000,0.984491,0.984491,0.984491
5616,3.963736,4.000000,0.990934,0.990934,0.990934
5627,3.875553,4.000000,0.968888,0.968888,0.968888
5655,3.976178,4.000000,0.994044,0.994044,0.994044
5682,3.933139,4.000000,0.983285,0.983285,0.983285
5703,3.969194,4.000000,0.992298,0.992298,0.992298
11205,3.933771,4.000000,0.983443,0.983443,0.983443
5911,3.985450,4.000000,0.996362,0.996362,0.996362
10494,3.859052,4.000000,0.964763,0.964763,0.964763
6022,3.856709,4.000000,0.964177,0.964177,0.964177
6197,3.861874,4.000000,0.965469,0.965469,0.965469
9715,3.840729,4.000000,0.960182,0.960182,0.960182
6219,3.860145,4.000000,0.965036,0.965036,0.965036
8186,3.978104,4.000000,0.994526,0.994526,0.994526
7009,3.869317,4.000000,0.967329,0.967329,0.967329
7120,3.991628,4.000000,0.997907,0.997907,0.997907
7486,75.079353,76.000000,0.987886,0.981420,0.991365
9918,3.915335,4.000000,0.978834,0.978834,0.978834
7305,3.910217,4.000000,0.977554,0.977554,0.977554
7990,3.903010,4.000000,0.975752,0.975752,0.975752
6666,3.953088,4.000000,0.988272,0.988272,0.988272
6833,15.546191,16.000000,0.971637,0.962685,0.981503
6959,3.919636,4.000000,0.979909,0.979909,0.979909
8325,3.996405,4.000000,0.999101,0.999101,0.999101
8207,11.692608,12.000000,0.974384,0.965513,0.982877
8194,3.884514,4.000000,0.971128,0.971128,0.971128
9140,3.935059,4.000000,0.983765,0.983765,0.983765
9663,19.873205,20.000000,0.993660,0.987898,0.999287
8209,7.813793,8.000000,0.976724,0.965455,0.987993
8211,3.879792,4.000000,0.969948,0.969948,0.969948
