index,filename,width,height,unique,blur,mean,min,max,stdv,file_size,contrast
88,dataset\20. ememes\ememes0000088.jpg,800,895,256,1987.1790,58.9555,0.0000,255.0000,61.5269,101876,1.0000
89,dataset\20. ememes\ememes0000089.jpg,860,1443,256,3302.7231,75.1546,0.0000,255.0000,78.0597,165986,1.0000
90,dataset\20. ememes\ememes0000090.jpg,800,895,256,6277.7500,83.1432,0.0000,255.0000,81.4199,145868,1.0000
91,dataset\20. ememes\ememes0000091.jpg,860,1443,256,8261.9609,89.0915,0.0000,255.0000,81.2786,253664,1.0000
92,dataset\20. ememes\ememes0000092.jpg,1422,796,256,6239.9590,78.0540,0.0000,255.0000,74.6724,217344,1.0000
93,dataset\20. ememes\ememes0000093.jpg,800,895,256,3448.0435,56.3856,0.0000,255.0000,62.3904,103063,1.0000
94,dataset\20. ememes\ememes0000094.jpg,860,1443,256,4572.8638,66.4180,0.0000,255.0000,72.7350,173149,1.0000
95,dataset\20. ememes\ememes0000095.jpg,1260,1056,256,8556.6523,71.8979,0.0000,255.0000,72.0761,277445,1.0000
96,dataset\20. ememes\ememes0000096.jpg,1422,796,256,6616.0020,66.0453,0.0000,255.0000,74.0239,237041,1.0000
97,dataset\20. ememes\ememes0000097.jpg,860,1443,256,4362.8545,92.3485,0.0000,255.0000,71.0258,185871,1.0000
98,dataset\20. ememes\ememes0000098.jpg,852,956,256,5678.4595,90.6558,0.0000,255.0000,68.5506,168454,1.0000
99,dataset\20. ememes\ememes0000099.jpg,852,956,256,3505.9331,89.5066,0.0000,255.0000,70.4012,131256,1.0000
100,dataset\20. ememes\ememes0000100.jpg,852,956,256,3160.7681,86.3103,0.0000,255.0000,55.2547,130700,1.0000
101,dataset\20. ememes\ememes0000101.jpg,844,1434,256,4499.3711,99.2916,0.0000,255.0000,63.4626,189401,1.0000
102,dataset\20. ememes\ememes0000102.jpg,852,956,256,2615.4771,111.9881,0.0000,255.0000,57.3827,115193,1.0000
103,dataset\20. ememes\ememes0000103.jpg,852,1434,256,5214.5132,104.9339,0.0000,255.0000,62.2208,204796,1.0000
104,dataset\20. ememes\ememes0000104.jpg,844,1434,256,5420.4302,108.6565,0.0000,255.0000,66.7400,207847,1.0000
105,dataset\20. ememes\ememes0000105.jpg,844,1434,256,5998.6973,103.8596,0.0000,255.0000,64.1637,205945,1.0000
106,dataset\20. ememes\ememes0000106.jpg,852,956,256,3218.4929,54.7486,0.0000,255.0000,58.8895,141248,1.0000
107,dataset\20. ememes\ememes0000107.jpg,852,956,256,2991.1672,124.2617,0.0000,255.0000,73.6394,111318,1.0000
108,dataset\20. ememes\ememes0000108.jpg,852,1434,256,5218.0444,102.5364,0.0000,255.0000,74.8105,208045,1.0000
109,dataset\20. ememes\ememes0000109.jpg,852,956,256,3270.0532,78.2224,0.0000,255.0000,55.5700,142914,1.0000
110,dataset\20. ememes\ememes0000110.jpg,852,1434,256,3576.8159,48.9855,0.0000,255.0000,57.1469,162427,1.0000
111,dataset\20. ememes\ememes0000111.jpg,852,956,256,5165.4072,71.0134,0.0000,255.0000,57.6297,205779,1.0000
112,dataset\20. ememes\ememes0000112.jpg,852,1434,256,4380.1074,81.6503,0.0000,255.0000,64.8766,204281,1.0000
113,dataset\20. ememes\ememes0000113.jpg,852,956,256,3813.4890,56.0149,0.0000,255.0000,49.9033,138494,1.0000
114,dataset\20. ememes\ememes0000114.jpg,852,956,256,4629.6602,75.0633,0.0000,255.0000,59.5688,143085,1.0000
115,dataset\20. ememes\ememes0000115.jpg,852,956,256,2402.5176,68.1974,0.0000,255.0000,61.3914,122127,1.0000
116,dataset\20. ememes\ememes0000116.jpg,852,956,256,2248.1504,41.3370,0.0000,255.0000,49.6766,106555,1.0000
117,dataset\20. ememes\ememes0000117.jpg,852,1434,256,2757.3882,49.6782,0.0000,255.0000,55.7249,164882,1.0000
118,dataset\20. ememes\ememes0000118.jpg,1200,1333,256,5191.1670,111.0076,0.0000,255.0000,77.5556,707925,1.0000
119,dataset\20. ememes\ememes0000119.jpg,1200,1333,256,2458.6406,123.8379,0.0000,255.0000,72.7889,670369,1.0000
120,dataset\20. ememes\ememes0000120.jpg,1200,2000,256,6436.9600,132.3460,0.0000,255.0000,83.5389,1084290,1.0000
121,dataset\20. ememes\ememes0000121.jpg,1200,2000,256,3849.7122,72.2182,0.0000,255.0000,65.3057,923837,1.0000
122,dataset\20. ememes\ememes0000122.jpg,1200,2000,256,4371.5112,93.4285,0.0000,255.0000,64.5830,1000559,1.0000
123,dataset\20. ememes\ememes0000123.jpg,1200,2000,256,5121.5806,72.9253,0.0000,255.0000,68.6914,1002040,1.0000
124,dataset\20. ememes\ememes0000124.jpg,1200,2000,256,4538.4624,58.5733,0.0000,255.0000,60.3805,964662,1.0000
125,dataset\20. ememes\ememes0000125.jpg,1200,667,256,10256.9678,122.2205,0.0000,255.0000,76.2309,622713,1.0000
126,dataset\20. ememes\ememes0000126.jpg,1200,2000,256,9945.5273,122.3435,0.0000,255.0000,76.4329,1274493,1.0000
127,dataset\20. ememes\ememes0000127.jpg,1200,1333,256,9022.5859,111.7980,0.0000,255.0000,73.4867,914867,1.0000
128,dataset\20. ememes\ememes0000128.jpg,1200,1333,256,3455.3193,106.1648,0.0000,255.0000,72.8927,688758,1.0000
129,dataset\20. ememes\ememes0000129.jpg,1200,2000,256,3379.3088,81.2389,0.0000,255.0000,61.4442,853095,1.0000
130,dataset\20. ememes\ememes0000130.jpg,1200,1333,256,11332.6768,130.5671,0.0000,255.0000,75.0422,949466,1.0000
131,dataset\20. ememes\ememes0000131.jpg,1200,667,256,10939.7334,95.9266,0.0000,255.0000,78.2613,614610,1.0000
132,dataset\20. ememes\ememes0000132.jpg,1200,1333,256,1847.8639,57.9093,0.0000,255.0000,66.8592,430697,1.0000
133,dataset\20. ememes\ememes0000133.jpg,1200,1333,256,3296.7612,95.4341,0.0000,255.0000,56.6977,596796,1.0000
134,dataset\20. ememes\ememes0000134.jpg,1200,1333,256,6039.1543,113.1824,0.0000,255.0000,79.7587,751888,1.0000
135,dataset\20. ememes\ememes0000135.jpg,1200,2000,256,9228.3682,96.0812,0.0000,255.0000,78.9445,1168143,1.0000
136,dataset\20. ememes\ememes0000136.jpg,1200,1333,256,7958.1797,89.8451,0.0000,255.0000,83.0088,771156,1.0000
137,dataset\20. ememes\ememes0000137.jpg,1200,2000,256,7637.8496,68.6765,0.0000,255.0000,76.8728,921844,1.0000
138,dataset\20. ememes\ememes0000138.jpg,1200,2000,256,2904.1392,64.5259,0.0000,255.0000,66.0031,877955,1.0000
139,dataset\20. ememes\ememes0000139.jpg,1200,1333,256,6180.1724,80.6046,0.0000,255.0000,64.6332,798304,1.0000
140,dataset\20. ememes\ememes0000140.jpg,1024,575,256,1030.8962,27.8888,0.0000,255.0000,39.1285,61790,1.0000
141,dataset\20. ememes\ememes0000141.jpg,1200,1333,256,6169.3828,101.2494,0.0000,255.0000,76.1545,701616,1.0000
142,dataset\20. ememes\ememes0000142.jpg,1200,1333,256,2694.2673,92.6254,0.0000,255.0000,61.8490,544029,1.0000
143,dataset\20. ememes\ememes0000143.jpg,1200,1333,256,5061.9248,58.2385,0.0000,255.0000,58.1921,770150,1.0000
144,dataset\20. ememes\ememes0000144.jpg,1200,1333,256,5758.1753,45.1728,0.0000,255.0000,53.2729,739037,1.0000
145,dataset\20. ememes\ememes0000145.jpg,1200,2000,256,2354.6641,120.4174,0.0000,255.0000,77.3257,835153,1.0000
146,dataset\20. ememes\ememes0000146.jpg,1200,1333,256,1484.4153,121.1274,0.0000,255.0000,79.1578,567041,1.0000
